Age,Stage of Change,Symptoms and Disorders,Psychological Treatment,Evidence Level,Basis for Evidence
Child,Precontemplation,Bipolar Disorder,CBT for Bipolar Disorder,Unclear,
Child,Contemplation,Bipolar Disorder,CBT for Bipolar Disorder,Unclear,
Child,Preparation,Bipolar Disorder,CBT for Bipolar Disorder,Fair,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Child,Action,Bipolar Disorder,CBT for Bipolar Disorder,Fair,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Child,Maintenance,Bipolar Disorder,CBT for Bipolar Disorder,Fair,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Precontemplation,Bipolar Disorder,CBT for Bipolar Disorder,Unclear,
Adolescent,Contemplation,Bipolar Disorder,CBT for Bipolar Disorder,Unclear,
Adolescent,Preparation,Bipolar Disorder,CBT for Bipolar Disorder,Fair,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Action,Bipolar Disorder,CBT for Bipolar Disorder,Fair,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Maintenance,Bipolar Disorder,CBT for Bipolar Disorder,Fair,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Precontemplation,Bipolar Disorder,Dialectical Behavior Therapy,Experimental,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Contemplation,Bipolar Disorder,Dialectical Behavior Therapy,Experimental,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Preparation,Bipolar Disorder,Dialectical Behavior Therapy,Experimental,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Action,Bipolar Disorder,Dialectical Behavior Therapy,Experimental,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Maintenance,Bipolar Disorder,Dialectical Behavior Therapy,Experimental,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Precontemplation,Bipolar Disorder,Interpersonal and Social Rhythm Therapy,Experimental,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Contemplation,Bipolar Disorder,Interpersonal and Social Rhythm Therapy,Experimental,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Preparation,Bipolar Disorder,Interpersonal and Social Rhythm Therapy,Experimental,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Action,Bipolar Disorder,Interpersonal and Social Rhythm Therapy,Experimental,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adolescent,Maintenance,Bipolar Disorder,Interpersonal and Social Rhythm Therapy,Experimental,"Fristad, M.A., & MacPherson, H.A. (2013).  Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders. Journal of Clinical Child & Adolescent Psychology, 43(3), 339-355."
Adult,Precontemplation,Bipolar Disorder,Psychoeducation (Manic symptoms),Unclear,
Adult,Contemplation,Bipolar Disorder,Psychoeducation (Manic symptoms),Unclear,
Adult,Preparation,Bipolar Disorder,Psychoeducation (Manic symptoms),Excellent,"Colom, F., Vieta, E., Sanchez-Moreno, J., Martinez-Aran, A., Reinares, M., Goikolea, J. M., & Scott, J. (2005). Stabilizing the stabilizer: group psychoeducation enhances the stability of serum lithium levels.ˇBipolar Disorders, 7, 32-36. ; Colom, F., Vieta, E., Martinez-Aran, A., Reinares, M., Goikolea, J. M., Benabarre, A., et al. (2003). A randomized trial on the efficacy of group psychoeducation in the prophylaxis of recurrences in bipolar patients whose disease is in remission.ˇArchives of General Psychiatry, 60, 402-407. ; Colom, F., Vieta, E., Reinares, M., Martinez-Aran, A., Torrent, C., Goikolea, J. M., & Gasto, C. (2003). Psychoeducation efficacy in bipolar disorders: beyond compliance enhancement.ˇJournal of Clinical Psychiatry, 64, 1101-1105. ; Perry, A., Tarrier, N., Morriss, R., McCarthy, E., & Limb, K. (1999). Randomised controlled trial of efficacy of teaching patients with bipolar disorder to identify early symptoms of relapse and obtain treatment.ˇBritish Medical Journal, 318, 149-53."
Adult,Action,Bipolar Disorder,Psychoeducation (Manic symptoms),Excellent,"Colom, F., Vieta, E., Sanchez-Moreno, J., Martinez-Aran, A., Reinares, M., Goikolea, J. M., & Scott, J. (2005). Stabilizing the stabilizer: group psychoeducation enhances the stability of serum lithium levels.ˇBipolar Disorders, 7, 32-36. ; Colom, F., Vieta, E., Martinez-Aran, A., Reinares, M., Goikolea, J. M., Benabarre, A., et al. (2003). A randomized trial on the efficacy of group psychoeducation in the prophylaxis of recurrences in bipolar patients whose disease is in remission.ˇArchives of General Psychiatry, 60, 402-407. ; Colom, F., Vieta, E., Reinares, M., Martinez-Aran, A., Torrent, C., Goikolea, J. M., & Gasto, C. (2003). Psychoeducation efficacy in bipolar disorders: beyond compliance enhancement.ˇJournal of Clinical Psychiatry, 64, 1101-1105. ; Perry, A., Tarrier, N., Morriss, R., McCarthy, E., & Limb, K. (1999). Randomised controlled trial of efficacy of teaching patients with bipolar disorder to identify early symptoms of relapse and obtain treatment.ˇBritish Medical Journal, 318, 149-53."
Adult,Maintenance,Bipolar Disorder,Psychoeducation (Manic symptoms),Excellent,"Colom, F., Vieta, E., Sanchez-Moreno, J., Martinez-Aran, A., Reinares, M., Goikolea, J. M., & Scott, J. (2005). Stabilizing the stabilizer: group psychoeducation enhances the stability of serum lithium levels.ˇBipolar Disorders, 7, 32-36. ; Colom, F., Vieta, E., Martinez-Aran, A., Reinares, M., Goikolea, J. M., Benabarre, A., et al. (2003). A randomized trial on the efficacy of group psychoeducation in the prophylaxis of recurrences in bipolar patients whose disease is in remission.ˇArchives of General Psychiatry, 60, 402-407. ; Colom, F., Vieta, E., Reinares, M., Martinez-Aran, A., Torrent, C., Goikolea, J. M., & Gasto, C. (2003). Psychoeducation efficacy in bipolar disorders: beyond compliance enhancement.ˇJournal of Clinical Psychiatry, 64, 1101-1105. ; Perry, A., Tarrier, N., Morriss, R., McCarthy, E., & Limb, K. (1999). Randomised controlled trial of efficacy of teaching patients with bipolar disorder to identify early symptoms of relapse and obtain treatment.ˇBritish Medical Journal, 318, 149-53."
Adult,Precontemplation,Bipolar Disorder,Psychoeducation (Depressive symptoms),Unclear,
Adult,Contemplation,Bipolar Disorder,Psychoeducation (Depressive symptoms),Unclear,
Adult,Preparation,Bipolar Disorder,Psychoeducation (Depressive symptoms),Good,"Colom, F., Vieta, E., Sanchez-Moreno, J., Martinez-Aran, A., Reinares, M., Goikolea, J. M., & Scott, J. (2005). Stabilizing the stabilizer: group psychoeducation enhances the stability of serum lithium levels.ˇBipolar Disorders, 7, 32-36. ; Colom, F., Vieta, E., Martinez-Aran, A., Reinares, M., Goikolea, J. M., Benabarre, A., et al. (2003). A randomized trial on the efficacy of group psychoeducation in the prophylaxis of recurrences in bipolar patients whose disease is in remission.ˇArchives of General Psychiatry, 60, 402-407. ; Colom, F., Vieta, E., Reinares, M., Martinez-Aran, A., Torrent, C., Goikolea, J. M., & Gasto, C. (2003). Psychoeducation efficacy in bipolar disorders: beyond compliance enhancement.ˇJournal of Clinical Psychiatry, 64, 1101-1105. ; Perry, A., Tarrier, N., Morriss, R., McCarthy, E., & Limb, K. (1999). Randomised controlled trial of efficacy of teaching patients with bipolar disorder to identify early symptoms of relapse and obtain treatment.ˇBritish Medical Journal, 318, 149-53."
Adult,Action,Bipolar Disorder,Psychoeducation (Depressive symptoms),Good,"Colom, F., Vieta, E., Sanchez-Moreno, J., Martinez-Aran, A., Reinares, M., Goikolea, J. M., & Scott, J. (2005). Stabilizing the stabilizer: group psychoeducation enhances the stability of serum lithium levels.ˇBipolar Disorders, 7, 32-36. ; Colom, F., Vieta, E., Martinez-Aran, A., Reinares, M., Goikolea, J. M., Benabarre, A., et al. (2003). A randomized trial on the efficacy of group psychoeducation in the prophylaxis of recurrences in bipolar patients whose disease is in remission.ˇArchives of General Psychiatry, 60, 402-407. ; Colom, F., Vieta, E., Reinares, M., Martinez-Aran, A., Torrent, C., Goikolea, J. M., & Gasto, C. (2003). Psychoeducation efficacy in bipolar disorders: beyond compliance enhancement.ˇJournal of Clinical Psychiatry, 64, 1101-1105. ; Perry, A., Tarrier, N., Morriss, R., McCarthy, E., & Limb, K. (1999). Randomised controlled trial of efficacy of teaching patients with bipolar disorder to identify early symptoms of relapse and obtain treatment.ˇBritish Medical Journal, 318, 149-53."
Adult,Maintenance,Bipolar Disorder,Psychoeducation (Depressive symptoms),Good,"Colom, F., Vieta, E., Sanchez-Moreno, J., Martinez-Aran, A., Reinares, M., Goikolea, J. M., & Scott, J. (2005). Stabilizing the stabilizer: group psychoeducation enhances the stability of serum lithium levels.ˇBipolar Disorders, 7, 32-36. ; Colom, F., Vieta, E., Martinez-Aran, A., Reinares, M., Goikolea, J. M., Benabarre, A., et al. (2003). A randomized trial on the efficacy of group psychoeducation in the prophylaxis of recurrences in bipolar patients whose disease is in remission.ˇArchives of General Psychiatry, 60, 402-407. ; Colom, F., Vieta, E., Reinares, M., Martinez-Aran, A., Torrent, C., Goikolea, J. M., & Gasto, C. (2003). Psychoeducation efficacy in bipolar disorders: beyond compliance enhancement.ˇJournal of Clinical Psychiatry, 64, 1101-1105. ; Perry, A., Tarrier, N., Morriss, R., McCarthy, E., & Limb, K. (1999). Randomised controlled trial of efficacy of teaching patients with bipolar disorder to identify early symptoms of relapse and obtain treatment.ˇBritish Medical Journal, 318, 149-53."
Adult,Precontemplation,Bipolar Disorder,Psychoeducation group with team-based care (Manic symptoms),Unclear,
Adult,Contemplation,Bipolar Disorder,Psychoeducation group with team-based care (Manic symptoms),Unclear,
Adult,Preparation,Bipolar Disorder,Psychoeducation group with team-based care (Manic symptoms),Excellent,"Bauer, M. S., McBride, L., Williford, W.O., Glick, H., Kinosian, B., Altshuler, L., et al. (2006). Collaborative care for bipolar disorder: Part II. Impact on clinical outcome, function, and costs.ˇPsychiatric Services, 57, 937-945. ; Simon, G. E., Ludman, E. J., Bauer, M. S., Unutzer, J., & Operskalski, B. (2006). Long-term effectiveness and cost of a systematic care program for bipolar disorder.ˇArchives of General Psychiatry, 63, 500-508. ; Simon, G. E., Ludman, E. J., Unutzer, J., Bauer, M. S., Operskalski, B., & Rutter, C. (2005). Randomized trial of a population-based care program for people with bipolar disorder.ˇPsychological Medicine, 35, 13-24."
Adult,Action,Bipolar Disorder,Psychoeducation group with team-based care (Manic symptoms),Excellent,"Bauer, M. S., McBride, L., Williford, W.O., Glick, H., Kinosian, B., Altshuler, L., et al. (2006). Collaborative care for bipolar disorder: Part II. Impact on clinical outcome, function, and costs.ˇPsychiatric Services, 57, 937-945. ; Simon, G. E., Ludman, E. J., Bauer, M. S., Unutzer, J., & Operskalski, B. (2006). Long-term effectiveness and cost of a systematic care program for bipolar disorder.ˇArchives of General Psychiatry, 63, 500-508. ; Simon, G. E., Ludman, E. J., Unutzer, J., Bauer, M. S., Operskalski, B., & Rutter, C. (2005). Randomized trial of a population-based care program for people with bipolar disorder.ˇPsychological Medicine, 35, 13-24."
Adult,Maintenance,Bipolar Disorder,Psychoeducation group with team-based care (Manic symptoms),Excellent,"Bauer, M. S., McBride, L., Williford, W.O., Glick, H., Kinosian, B., Altshuler, L., et al. (2006). Collaborative care for bipolar disorder: Part II. Impact on clinical outcome, function, and costs.ˇPsychiatric Services, 57, 937-945. ; Simon, G. E., Ludman, E. J., Bauer, M. S., Unutzer, J., & Operskalski, B. (2006). Long-term effectiveness and cost of a systematic care program for bipolar disorder.ˇArchives of General Psychiatry, 63, 500-508. ; Simon, G. E., Ludman, E. J., Unutzer, J., Bauer, M. S., Operskalski, B., & Rutter, C. (2005). Randomized trial of a population-based care program for people with bipolar disorder.ˇPsychological Medicine, 35, 13-24."
Adult,Precontemplation,Bipolar Disorder,CBT (Manic and Depressive symptoms),Unclear,
Adult,Contemplation,Bipolar Disorder,CBT (Manic and Depressive symptoms),Unclear,
Adult,Preparation,Bipolar Disorder,CBT (Manic and Depressive symptoms),Good,"Szentagotai, A., & David, D. (2010). The efficacy of cognitive-behavioral therapy in bipolar disorder: A quantitative meta-analysis. The Journal of Clinical Psychiatry, 71(1), 66-72. doi:10.4088/JCP.08r04559yel"
Adult,Action,Bipolar Disorder,CBT (Manic and Depressive symptoms),Good,"Szentagotai, A., & David, D. (2010). The efficacy of cognitive-behavioral therapy in bipolar disorder: A quantitative meta-analysis. The Journal of Clinical Psychiatry, 71(1), 66-72. doi:10.4088/JCP.08r04559yel"
Adult,Maintenance,Bipolar Disorder,CBT (Manic and Depressive symptoms),Good,"Szentagotai, A., & David, D. (2010). The efficacy of cognitive-behavioral therapy in bipolar disorder: A quantitative meta-analysis. The Journal of Clinical Psychiatry, 71(1), 66-72. doi:10.4088/JCP.08r04559yel"
Adult,Precontemplation,Bipolar Disorder,Family-focused therapy (Depressive symptoms),Unclear,
Adult,Contemplation,Bipolar Disorder,Family-focused therapy (Depressive symptoms),Unclear,
Adult,Preparation,Bipolar Disorder,Family-focused therapy (Depressive symptoms),Excellent,"Miklowitz, D. J., Otto, M. W., Frank, E., Reilly-Harrington, N. A., Kogan, J. N., Sachs, G. S., et al. (2007). Intensive psychosocial intervention enhances functioning in patients with bipolar depression: Results from a 9-month randomized controlled trial.ˇAmerican Journal of Psychiatry, 164, 1340-1347. ; Miller, I., Solomon, D. A., Ryan, C. E., & Keitner, G. I. (2004). Does adjunctive family therapy enhance recovery from bipolar I mood episodes?ˇJournal of Affective Disorders, 82, 431-436. ; Miklowitz, D.J., George, E.L., Richards, J.A., Simoneau, T.L., & Suddath, R. L. (2003). A randomized study of family-focused psychoeducation and pharmacotherapy in the outpatient management of bipolar disorder.ˇArchives of General Psychiatry, 60, 904-912. ; Rea, M. M., Tompson, M., Miklowitz, D.J., Goldstein, M.J., Hwang, S., & Mintz, J. (2003). Family focused treatment vs. individual treatment for bipolar disorder: Results of a randomized clinical trial.ˇJournal of Consulting and Clinical Psychology, 71, 482-492."
Adult,Action,Bipolar Disorder,Family-focused therapy (Depressive symptoms),Excellent,"Miklowitz, D. J., Otto, M. W., Frank, E., Reilly-Harrington, N. A., Kogan, J. N., Sachs, G. S., et al. (2007). Intensive psychosocial intervention enhances functioning in patients with bipolar depression: Results from a 9-month randomized controlled trial.ˇAmerican Journal of Psychiatry, 164, 1340-1347. ; Miller, I., Solomon, D. A., Ryan, C. E., & Keitner, G. I. (2004). Does adjunctive family therapy enhance recovery from bipolar I mood episodes?ˇJournal of Affective Disorders, 82, 431-436. ; Miklowitz, D.J., George, E.L., Richards, J.A., Simoneau, T.L., & Suddath, R. L. (2003). A randomized study of family-focused psychoeducation and pharmacotherapy in the outpatient management of bipolar disorder.ˇArchives of General Psychiatry, 60, 904-912. ; Rea, M. M., Tompson, M., Miklowitz, D.J., Goldstein, M.J., Hwang, S., & Mintz, J. (2003). Family focused treatment vs. individual treatment for bipolar disorder: Results of a randomized clinical trial.ˇJournal of Consulting and Clinical Psychology, 71, 482-492."
Adult,Maintenance,Bipolar Disorder,Family-focused therapy (Depressive symptoms),Excellent,"Miklowitz, D. J., Otto, M. W., Frank, E., Reilly-Harrington, N. A., Kogan, J. N., Sachs, G. S., et al. (2007). Intensive psychosocial intervention enhances functioning in patients with bipolar depression: Results from a 9-month randomized controlled trial.ˇAmerican Journal of Psychiatry, 164, 1340-1347. ; Miller, I., Solomon, D. A., Ryan, C. E., & Keitner, G. I. (2004). Does adjunctive family therapy enhance recovery from bipolar I mood episodes?ˇJournal of Affective Disorders, 82, 431-436. ; Miklowitz, D.J., George, E.L., Richards, J.A., Simoneau, T.L., & Suddath, R. L. (2003). A randomized study of family-focused psychoeducation and pharmacotherapy in the outpatient management of bipolar disorder.ˇArchives of General Psychiatry, 60, 904-912. ; Rea, M. M., Tompson, M., Miklowitz, D.J., Goldstein, M.J., Hwang, S., & Mintz, J. (2003). Family focused treatment vs. individual treatment for bipolar disorder: Results of a randomized clinical trial.ˇJournal of Consulting and Clinical Psychology, 71, 482-492."
Adult,Precontemplation,Bipolar Disorder,Interpersonal and Social Rhythym Therapy (Depressive symptoms),Unclear,
Adult,Contemplation,Bipolar Disorder,Interpersonal and Social Rhythym Therapy (Depressive symptoms),Unclear,
Adult,Preparation,Bipolar Disorder,Interpersonal and Social Rhythym Therapy (Depressive symptoms),Fair,"Miklowitz, D. J., Otto, M. W., Frank, E., Reilly-Harrington, N. A., Kogan, J. N., Sachs, G. S., et al. (2007). Intensive psychosocial intervention enhances functioning in patients with bipolar depression: Results from a 9-month randomized controlled trial.ˇAmerican Journal of Psychiatry, 164, 1340-1347. ; Frank, E., Kupfer, D. J., Thase, M. E., Mallinger, A. G., Swartz, H. A., Fagiolini, A. M., et al. (2005). Two-year outcomes for interpersonal and social rhythm therapy in individuals with bipolar I disorder.ˇArchives of General Psychiatry, 62, 996-1004. ; Frank, E., Swartz, H.A., & Kupfer, D.J. (2000). Interpersonal and social rhythm therapy: Managing the chaos of bipolar disorder.ˇBiological Psychiatry, 48, 593-604. ; Frank, E., Kupfer, D. J., Ehlers, C. L., Monk, T. H., Cornes, C., Carter, S., et al. (1994). Interpersonal and social rhythm therapy for bipolar disorder: Integrating interpersonal and behavioral approaches.ˇThe Behavior Therapist, 17, 143-149."
Adult,Action,Bipolar Disorder,Interpersonal and Social Rhythym Therapy (Depressive symptoms),Fair,"Miklowitz, D. J., Otto, M. W., Frank, E., Reilly-Harrington, N. A., Kogan, J. N., Sachs, G. S., et al. (2007). Intensive psychosocial intervention enhances functioning in patients with bipolar depression: Results from a 9-month randomized controlled trial.ˇAmerican Journal of Psychiatry, 164, 1340-1347. ; Frank, E., Kupfer, D. J., Thase, M. E., Mallinger, A. G., Swartz, H. A., Fagiolini, A. M., et al. (2005). Two-year outcomes for interpersonal and social rhythm therapy in individuals with bipolar I disorder.ˇArchives of General Psychiatry, 62, 996-1004. ; Frank, E., Swartz, H.A., & Kupfer, D.J. (2000). Interpersonal and social rhythm therapy: Managing the chaos of bipolar disorder.ˇBiological Psychiatry, 48, 593-604. ; Frank, E., Kupfer, D. J., Ehlers, C. L., Monk, T. H., Cornes, C., Carter, S., et al. (1994). Interpersonal and social rhythm therapy for bipolar disorder: Integrating interpersonal and behavioral approaches.ˇThe Behavior Therapist, 17, 143-149."
Adult,Maintenance,Bipolar Disorder,Interpersonal and Social Rhythym Therapy (Depressive symptoms),Fair,"Miklowitz, D. J., Otto, M. W., Frank, E., Reilly-Harrington, N. A., Kogan, J. N., Sachs, G. S., et al. (2007). Intensive psychosocial intervention enhances functioning in patients with bipolar depression: Results from a 9-month randomized controlled trial.ˇAmerican Journal of Psychiatry, 164, 1340-1347. ; Frank, E., Kupfer, D. J., Thase, M. E., Mallinger, A. G., Swartz, H. A., Fagiolini, A. M., et al. (2005). Two-year outcomes for interpersonal and social rhythm therapy in individuals with bipolar I disorder.ˇArchives of General Psychiatry, 62, 996-1004. ; Frank, E., Swartz, H.A., & Kupfer, D.J. (2000). Interpersonal and social rhythm therapy: Managing the chaos of bipolar disorder.ˇBiological Psychiatry, 48, 593-604. ; Frank, E., Kupfer, D. J., Ehlers, C. L., Monk, T. H., Cornes, C., Carter, S., et al. (1994). Interpersonal and social rhythm therapy for bipolar disorder: Integrating interpersonal and behavioral approaches.ˇThe Behavior Therapist, 17, 143-149."
Child,Precontemplation,Bulimia,CBT for Eating Disorders,Unclear,
Child,Contemplation,Bulimia,CBT for Eating Disorders,Unclear,
Child,Preparation,Bulimia,CBT for Eating Disorders,Experimental,"Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Child,Action,Bulimia,CBT for Eating Disorders,Experimental,"Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Child,Maintenance,Bulimia,CBT for Eating Disorders,Experimental,"Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adolescent,Precontemplation,Bulimia,CBT for Eating Disorders,Unclear,
Adolescent,Contemplation,Bulimia,CBT for Eating Disorders,Unclear,
Adolescent,Preparation,Bulimia,CBT for Eating Disorders,Fair,"Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adolescent,Action,Bulimia,CBT for Eating Disorders,Fair,"Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adolescent,Maintenance,Bulimia,CBT for Eating Disorders,Fair,"Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Child,Precontemplation,Bulimia,Family Therapy for Eating Disorders,Unclear,
Child,Contemplation,Bulimia,Family Therapy for Eating Disorders,Unclear,
Child,Preparation,Bulimia,Family Therapy for Eating Disorders,Experimental,"Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Child,Action,Bulimia,Family Therapy for Eating Disorders,Experimental,"Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Child,Maintenance,Bulimia,Family Therapy for Eating Disorders,Experimental,"Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adolescent,Precontemplation,Bulimia,Family Therapy for Eating Disorders,Unclear,
Adolescent,Contemplation,Bulimia,Family Therapy for Eating Disorders,Unclear,
Adolescent,Preparation,Bulimia,Family Therapy for Eating Disorders,Good,"Le Grange, D., Crosby, R.D., Rathouz, P.J., & Leventhal, B.L. A randomized controlled comparison of family-based treatment and supportive psychotherapy for adolescent bulimia nervosa. Archives of General Psychiatry, 64, 2007, 1049-1056. ; Schmidt, U., Lee, S., Beecham, J., Perkins, S., Treasure, J., Yi, I., Winn, S., Robinson, P., Murphy, R., Keville, S., Johnson-Sabine, E., Jenkins, M., Frost, S., Dodge, L. Berelowitz, M., & Eisler, I. (2007). A randomized controlled trial of family therapy and cognitive behavior therapy guided self-care for adolescents with bulimia nervosa and related disorders. American Journal of Psychiatry, 164, 591-598. ; Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adolescent,Action,Bulimia,Family Therapy for Eating Disorders,Good,"Le Grange, D., Crosby, R.D., Rathouz, P.J., & Leventhal, B.L. A randomized controlled comparison of family-based treatment and supportive psychotherapy for adolescent bulimia nervosa. Archives of General Psychiatry, 64, 2007, 1049-1056. ; Schmidt, U., Lee, S., Beecham, J., Perkins, S., Treasure, J., Yi, I., Winn, S., Robinson, P., Murphy, R., Keville, S., Johnson-Sabine, E., Jenkins, M., Frost, S., Dodge, L. Berelowitz, M., & Eisler, I. (2007). A randomized controlled trial of family therapy and cognitive behavior therapy guided self-care for adolescents with bulimia nervosa and related disorders. American Journal of Psychiatry, 164, 591-598. ; Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adolescent,Maintenance,Bulimia,Family Therapy for Eating Disorders,Good,"Le Grange, D., Crosby, R.D., Rathouz, P.J., & Leventhal, B.L. A randomized controlled comparison of family-based treatment and supportive psychotherapy for adolescent bulimia nervosa. Archives of General Psychiatry, 64, 2007, 1049-1056. ; Schmidt, U., Lee, S., Beecham, J., Perkins, S., Treasure, J., Yi, I., Winn, S., Robinson, P., Murphy, R., Keville, S., Johnson-Sabine, E., Jenkins, M., Frost, S., Dodge, L. Berelowitz, M., & Eisler, I. (2007). A randomized controlled trial of family therapy and cognitive behavior therapy guided self-care for adolescents with bulimia nervosa and related disorders. American Journal of Psychiatry, 164, 591-598. ; Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adult,Precontemplation,Bulimia,CBT,Unclear,
Adult,Contemplation,Bulimia,CBT,Unclear,
Adult,Preparation,Bulimia,CBT,Excellent,"Spielmans, G. I., Benish, S. G., Marin, C., Bowman, W. M., Menster, M., & Wheeler, A. J. (2013). Specificity of psychological treatments for bulimia nervosa and binge eating disorder? A meta-analysis of direct comparisons. Clinical Psychology Review, 33(3), 460-469. doi:10.1016/j.cpr.2013.01.008 ; Agras, W. S., Walsh, T., Fairburn, C. G., Wilson, G. T., & Kraemer, H. C. (2000). A multicenter comparison of cognitive-behavioral therapy and interpersonal psychotherapy for bulimia nervosa. Archives of General Psychiatry, 57(5), 459."
Adult,Action,Bulimia,CBT,Excellent,"Spielmans, G. I., Benish, S. G., Marin, C., Bowman, W. M., Menster, M., & Wheeler, A. J. (2013). Specificity of psychological treatments for bulimia nervosa and binge eating disorder? A meta-analysis of direct comparisons. Clinical Psychology Review, 33(3), 460-469. doi:10.1016/j.cpr.2013.01.008 ; Agras, W. S., Walsh, T., Fairburn, C. G., Wilson, G. T., & Kraemer, H. C. (2000). A multicenter comparison of cognitive-behavioral therapy and interpersonal psychotherapy for bulimia nervosa. Archives of General Psychiatry, 57(5), 459."
